rms_full,rms_provider,rms_type,display_name,category,track,tf_resource,confidence
config.policyAssignments,config,policyAssignments,PolicyAssignments,Management & Deployment,tracked,huaweicloud_rms_policy_assignment,manual
config.conformancePacks,config,conformancePacks,ConformancePacks,Management & Deployment,tracked,,unmapped
cph.cloudphoneservers,cph,cloudphoneservers,Cloud Phone Servers,Computing,tracked,huaweicloud_cph_server,manual
cph.elasticcloudphones,cph,elasticcloudphones,Elastic Cloud Phone,Computing,untracked,,unmapped
craftartssim.simSpace,craftartssim,simSpace,SimSpace,Industrial Software,untracked,,unmapped
craftartssim.simStudio,craftartssim,simStudio,SimStudio,Industrial Software,untracked,,unmapped
craftartssim.cpuUnit,craftartssim,cpuUnit,CPU Computing,Industrial Software,untracked,,unmapped
craftartssim.guiUnit,craftartssim,guiUnit,GUI Computing,Industrial Software,untracked,,unmapped
csms.secrets,csms,secrets,Secrets,Security,untracked,huaweicloud_smn_topic,manual
css.clusters,css,clusters,Clusters,EI Enterprise,tracked,huaweicloud_css_cluster,manual
das.enterprises,das,enterprises,Enterprise Instances,Database,tracked,,unmapped
dayu.instances,dayu,instances,Instances,EI Enterprise,tracked,huaweicloud_dataarts_studio_instance,manual
dayu.cdmClusters,dayu,cdmClusters,CDM Clusters,EI Enterprise,tracked,huaweicloud_cdm_cluster,manual
dayu.disStreams,dayu,disStreams,DIS Streams,EI Enterprise,tracked,,unmapped
dayu.workspaces,dayu,workspaces,Workspaces,EI Enterprise,tracked,huaweicloud_dataarts_studio_instance,manual
dayu.dlmClusters,dayu,dlmClusters,DataService Clusters,EI Enterprise,tracked,,unmapped
dbss.cloudservers,dbss,cloudservers,Instances,Security,tracked,huaweicloud_dbss_instance,manual
dcaas.directConnect,dcaas,directConnect,Direct Connects,Network,tracked,huaweicloud_dc_virtual_gateway,manual
dcaas.vgw,dcaas,vgw,Virtual Gateways,Network,tracked,huaweicloud_dc_virtual_gateway,manual
dcaas.lag,dcaas,lag,LAGs,Network,tracked,huaweicloud_dc_virtual_gateway,manual
dcaas.vif,dcaas,vif,Virtual Interfaces,Network,tracked,huaweicloud_dc_virtual_interface,manual
dcs.redis,dcs,redis,Redis Instances,Application,tracked,huaweicloud_dcs_instance,manual
dcs.memcached,dcs,memcached,Memcached Instances,Application,tracked,huaweicloud_dcs_instance,manual
dcs.node,dcs,node,Instance Nodes,Application,tracked,huaweicloud_dcs_instance,manual
